"MUNICIPIO","DEPARTAMENTO","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"California","Santander","413",0.7364,0.7845,0.5111,0.6754,0.7317,0.4259,0.8692,0.8444,0.8429,0.9187,0.8704,0.0175,0.0263,0.0186,0.0088,0.0323,0.8892,0.0263,0.8447,0.9292,0.9032,0.0933,0.0263,0.1366,0.0619,0.0645,0.0029,0,0,0.0088,0
"Capitanejo","Santander","1030",0.9309,0.9291,0.9474,0.8644,0.7928,0.4916,1.0767,1.0526,0.9782,1.2403,0.9832,0.0072,0.025,0,0.0134,0,0.8475,0,0.948,0.6935,0.9008,0.1453,0,0.052,0.293,0.0992,0.0133,0,0.0149,0.0188,0
"Carcasí","Santander","930",0.8711,0.8645,0.6143,0.8132,0.7716,0.4936,0.9903,0.8143,0.9421,1.1235,0.9103,0.0108,0,0.0028,0.0192,0.0182,0.9188,0,0.9497,0.8654,0.9273,0.0705,0,0.0475,0.1154,0.0545,0.0048,0,0.0056,0.0032,0.0091
"Cepitá","Santander","404",0.9195,0.8762,0.4839,0.9141,0.7338,0.4648,1.0347,0.6774,1.0245,1.1223,1.0423,0.0089,0,0,0.0177,0.0286,0.9911,0,1,0.9823,0.9714,0,0,0,0,0,0.0179,0,0.012,0.0265,0.0286
"Cerrito","Santander","1357",1.113,0.9801,0.7105,0.9186,0.8546,0.5357,1.1909,1.0614,1.1469,1.3392,1.067,0.0263,0.0579,0.0218,0.0254,0.0222,0.8702,0,0.9598,0.7463,0.85,0.1036,0,0.0184,0.2283,0.1278,0.0022,0,0.0034,0,0.0056
"Charalá","Santander","2351",1.0305,0.9345,0.6383,0.8352,0.9086,0.6005,1.0897,1.2181,0.9475,1.2078,1.1399,0.0253,0.0349,0.012,0.0349,0.0297,0.9539,0,0.9728,0.9348,0.9459,0.0208,0,0.0152,0.0304,0.0243,0.017,0.0087,0.013,0.018,0.0297
"Charta","Santander","476",0.8731,0.8529,0.5778,0.8557,0.649,0.443,0.9496,0.8,1.0149,0.9934,0.7848,0.0048,0,0.0049,0,0.02,0.8942,0,0.9167,0.8095,0.94,0.101,0,0.0784,0.1905,0.04,0,0,0,0,0
"Chima","Santander","569",0.9315,0.7891,0.4667,0.7778,0.7092,0.4894,0.8295,0.5778,0.9145,0.8622,0.6702,0.0291,0.0385,0.0234,0.0323,0.0385,0.9195,0,0.9486,0.8581,0.9615,0.0515,0,0.028,0.1097,0,0,0,0,0,0
"Chipatá","Santander","867",0.6667,0.7336,0.3036,0.6687,0.75,0.4847,0.7601,0.4643,0.756,0.8924,0.6135,0.0121,0.0385,0.004,0.0142,0.02,0.9135,0,0.9681,0.844,0.96,0.0744,0,0.0279,0.1418,0.02,0.0015,0,0.004,0,0
"Cimitarra","Santander","7122",0.6115,0.9726,0.6172,0.939,0.8181,0.4272,1.1209,1.0966,1.1809,1.186,0.856,0.0464,0.0784,0.0446,0.0455,0.0314,0.9261,0.0017,0.9327,0.9145,0.94,0.0275,0.0017,0.0227,0.04,0.0286,0.002,0,0.0021,0.0029,0
"Concepción","Santander","1135",0.9609,0.8229,0.6667,0.8632,0.6202,0.3211,1.022,0.9667,0.9872,1.155,0.8632,0.0152,0.0115,0.0087,0.0283,0.0112,0.8979,0,0.9524,0.7562,0.9775,0.0869,0,0.039,0.2155,0.0112,0.0087,0,0.0043,0.0212,0
