"MUNICIPIO","DEPARTAMENTO","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"Abriaquí","Antioquia","499",0.5611,0.5611,0.3953,0.5913,0.5152,0.2651,0.6192,0.5814,0.6779,0.6061,0.5181,0,0,0,0,0,0.9968,0,1,1,0.9767,0.0032,0,0,0,0.0233,0.0841,0,0.0851,0.13,0.0233
"Cómbita","Boyacá","1862",0.9533,0.9533,0.5364,0.8915,0.9888,0.621,1.9151,0.6358,1.4884,2.5859,2.2516,0.0324,0,0.0171,0.0497,0.0368,0.9414,0,0.9658,0.9063,0.9526,0.0262,0,0.0171,0.044,0.0105,0.0794,0.0169,0.0494,0.1453,0
"Cumaribo","Vichada","25239",0.507,0.507,0.4014,0.5771,0.1695,0.0385,0.5774,0.6132,0.8833,0.3803,0.1794,0.055,0.0379,0.0508,0.073,0.0615,0.7928,0,0.7454,0.8461,0.8816,0.1522,0,0.2039,0.0809,0.057,0.2014,0.0063,0.2699,0.1105,0.0434
"Santa Rosalía","Vichada","1157",0.8142,0.8142,0.7067,0.8264,0.549,0.2245,0.9058,1.1733,1.0879,0.8529,0.4694,0.063,0.0455,0.0615,0.0776,0.0326,0.8607,0,0.8673,0.8132,0.913,0.0763,0,0.0712,0.1092,0.0543,0.1317,0,0.15,0.1667,0.0217
"La Primavera","Vichada","2645",0.9096,0.9096,0.6413,0.9646,0.5901,0.3133,0.9913,0.8315,1.2868,0.8936,0.5901,0.0516,0.0272,0.0565,0.0542,0.0327,0.8601,0,0.8336,0.8573,0.9382,0.0883,0,0.11,0.0884,0.0291,0.1315,0.0068,0.1738,0.1167,0.0364
"Puerto Carreño","Vichada","4600",1.4835,1.4817,1.1402,1.6911,0.8125,0.291,1.5874,1.4043,2.356,1.214,0.6104,0.0845,0.0506,0.091,0.0887,0.0413,0.8147,0,0.8004,0.782,0.9404,0.1008,0,0.1086,0.1292,0.0183,0.1272,0.019,0.1386,0.1492,0.0436
"Yavaraté","Vaupés","562",0.4626,0.4626,0.4848,0.5156,0.2429,0.1596,0.5089,0.9091,0.6978,0.3571,0.2553,0.0839,0,0.0191,0.2533,0.0833,0.8287,0,0.828,0.7333,0.9167,0.0874,0,0.1529,0.0133,0,0.0769,0,0.0892,0.08,0.0833
"Papunaua","Vaupés","208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraira","Vaupés","802",0.1995,0.1995,0.1429,0.2983,0,0,0.2082,0.3016,0.5017,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.3473,0,0.3919,0,0
"Pacoa","Vaupés","1666",0.548,0.548,0.1429,0.5488,0.2509,0.0525,0.7287,0.381,0.9878,0.6953,0.4,0.0783,0,0.0432,0.1031,0.2213,0.8995,0,0.9275,0.8892,0.7377,0.0222,0,0.0293,0.0077,0.041,0.1829,0.2321,0.2577,0.1031,0.0164
"Caruru","Vaupés","1224",0.4747,0.4747,0.5128,0.4899,0.3482,0.1275,0.5082,0.6667,0.6154,0.4978,0.2108,0.0354,0.0192,0.0164,0.0628,0.0465,0.9421,0,0.9638,0.9058,0.9302,0.0225,0,0.0197,0.0314,0.0233,0.1318,0.0192,0.1053,0.1973,0.1163
"Mitú","Vaupés","10882",0.5778,0.5778,0.3974,0.5415,0.4331,0.1726,0.6843,0.5907,0.746,0.7081,0.5307,0.0506,0.0476,0.0409,0.066,0.0455,0.8612,0,0.8938,0.7987,0.8607,0.0881,0,0.0653,0.1354,0.0938,0.1575,0.0621,0.1832,0.1576,0.1061
"Miraflores","Guaviare","2049",0.2787,0.2787,0.1437,0.2486,0.2097,0.1025,0.345,0.3413,0.3468,0.3812,0.2544,0.0574,0.0526,0.0324,0.0944,0.0476,0.8187,0.1579,0.8155,0.7983,0.9365,0.1239,0.1579,0.1521,0.1073,0.0159,0.145,0.1053,0.1618,0.1631,0.0317
"El Retorno","Guaviare","4492",0.5071,0.5071,0.3012,0.48,0.4365,0.1864,0.5846,0.5088,0.6141,0.6521,0.4133,0.0532,0.0517,0.0475,0.0625,0.0482,0.8755,0.0345,0.8787,0.8519,0.9157,0.0713,0.0345,0.0738,0.0856,0.0361,0.096,0.0345,0.1072,0.1146,0.024
"Calamar","Guaviare","2506",0.7869,0.7869,0.4605,0.7762,0.5953,0.3035,0.9437,0.8947,1.0066,0.9715,0.7488,0.0267,0.0539,0.0181,0.0359,0.0149,0.8726,0.0931,0.8963,0.8188,0.9403,0.1007,0.0931,0.0856,0.1453,0.0448,0.0969,0.0441,0.1132,0.1078,0.0299
"San José del Guaviare","Guaviare","14142",0.8751,0.8743,0.5933,0.8112,0.6938,0.3921,1.0385,0.9538,1.1206,1.0471,0.8569,0.0502,0.0752,0.0418,0.0648,0.0242,0.8733,0.0227,0.9025,0.8062,0.918,0.0765,0.0227,0.0556,0.129,0.0578,0.1151,0.07,0.1083,0.1631,0.0319
"Morichal","Guainía","347",0.4582,0.4582,0.1613,0.4394,0.2258,0,0.5476,0.3226,0.7955,0.5161,0.1833,0.1,0.3,0.1143,0.0625,0,0.8421,0,0.7905,0.9219,1,0.0579,0,0.0952,0.0156,0,0.1632,0,0.2762,0.0313,0
"Pana Pana","Guainía","727",0.359,0.359,0.2192,0.4239,0.0916,0.0086,0.4347,0.3836,0.75,0.2595,0.1121,0.0032,0,0,0.0147,0,0.9367,0,0.9324,0.9118,1,0.0601,0,0.0676,0.0735,0,0.0759,0,0.058,0.1765,0
"Cacahual","Guainía","384",0.8385,0.8385,0.9565,0.6831,0.1694,0,0.8958,1.6522,1.3552,0.4677,0,0.0203,0,0.0161,0.0517,0,0.9331,0,0.9355,0.8793,0,0.0465,0,0.0484,0.069,0,0.189,0.0526,0.2379,0.069,0
"La Guadalupe","Guainía","115",0.7826,0.7826,0.9,0.9038,0,0,0.8,1.7,1.4423,0,0,0.0109,0.0588,0,0,0,0.9457,0,0.9467,0,0,0.0435,0,0.0533,0,0,0.087,0,0.1067,0,0
"Puerto Colombia","Guainía","755",0.8397,0.8397,0.3971,0.9123,0.1116,0.0179,0.8914,0.6765,1.6287,0.2618,0.0804,0.0283,0.087,0.0198,0.0492,0.1111,0.7188,0,0.6817,0.8852,0.8889,0.253,0,0.2986,0.0656,0,0.266,0.087,0.3106,0.0328,0
"San Felipe","Guainía","674",0.6113,0.6113,0.2899,0.6655,0.1149,0.0421,0.6795,0.6232,1.1855,0.2766,0.2526,0.0546,0,0.0429,0.1692,0,0.8275,0.0465,0.8006,0.8154,1,0.1179,0.0465,0.1564,0.0154,0,0.107,0,0.1227,0.1231,0.0417
"Barranco Minas","Guainía","4070",0.6587,0.6587,0.5959,0.6674,0.4061,0.0887,0.7703,0.6628,0.932,0.7382,0.4633,0.044,0.0132,0.0235,0.0781,0.066,0.79,0,0.8256,0.6775,0.8185,0.1659,0,0.1509,0.2444,0.1155,0.1305,0.0044,0.1472,0.1408,0.1023
"Inírida","Guainía","9666",0.7741,0.7741,0.6685,0.7598,0.4384,0.1485,0.887,1.072,1.0935,0.8009,0.475,0.0519,0.0603,0.0488,0.0618,0.024,0.8012,0.0201,0.7929,0.7646,0.8542,0.1469,0.0201,0.1583,0.1736,0.1218,0.149,0.0684,0.1671,0.1709,0.036
"Tarapacá","Amazonas","1332",0.5255,0.5255,0.4364,0.6096,0.2511,0.0262,0.5811,0.8182,0.9006,0.3911,0.083,0.022,0.0444,0.0204,0.017,0,0.978,0,0.9796,0.983,1,0,0,0,0,0,0.1744,0.0222,0.18,0.2159,0.3684
"Puerto Santander","Amazonas","616",0.6006,0.6006,0.5106,0.7519,0.215,0.0825,0.6494,1.0213,1.0155,0.3271,0.2062,0.0075,0,0.0076,0.0143,0,0.9925,0,0.9924,0.9857,1,0,0,0,0,0,0.125,0.1042,0.1374,0.1286,0
"Puerto Nariño","Amazonas","3229",0.5435,0.5435,0.469,0.5226,0.3939,0.1507,0.6123,0.7636,0.744,0.571,0.2957,0.0362,0.0203,0.0161,0.0672,0.0571,0.8782,0.0457,0.88,0.8508,0.9071,0.0856,0.0457,0.104,0.082,0.0357,0.1654,0.0508,0.1801,0.1951,0.1
"Puerto Arica","Amazonas","272",0.8346,0.8346,0.6923,0.8293,0.4941,0.2368,0.9301,1.0385,1.1545,0.7176,0.6053,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0.1146,0.037,0.169,0.0492,0.0435
"Puerto Alegría","Amazonas","212",0.7217,0.7217,0.8636,0.7576,0.3594,0,0.8113,1.5909,1.0303,0.5469,0,0.0523,0.1143,0.049,0,0,0.8721,0,0.8235,1,0,0.0756,0,0.1275,0,0,0.1686,0,0.2451,0.1143,0
"Miriti - Paraná","Amazonas","573",0.4607,0.4607,0.1778,0.5644,0.2565,0.1161,0.534,0.5556,0.7733,0.3874,0.2946,0.0327,0,0.0115,0.0811,0.0606,0.9673,0,0.9885,0.9189,0.9394,0,0,0,0,0,0.1373,0,0.1609,0.1216,0.1515
"La Victoria","Amazonas","167",0.1317,0.1317,0.1333,0.1831,0,0,0.1317,0.2,0.2676,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2727,0.6667,0.2105,0,0
"La Pedrera","Amazonas","1205",0.6705,0.6705,0.2929,0.759,0.3495,0.1837,0.795,0.798,1.0683,0.5947,0.5204,0.0179,0.0127,0.0038,0.0469,0.0429,0.9799,0,0.9962,0.9531,0.9286,0.0022,0,0,0,0.0286,0.1387,0.0506,0.1447,0.1784,0.0714
"La Chorrera","Amazonas","1193",0.5038,0.5038,0.6,0.4495,0.3325,0.0979,0.5859,0.9875,0.6267,0.5406,0.4021,0.1481,0.3418,0.0517,0.2386,0.12,0.7863,0,0.8571,0.6954,0.88,0.0656,0,0.0912,0.066,0,0.0885,0.0506,0.1216,0.0558,0.06
"El Encanto","Amazonas","658",0.5137,0.5137,0.5185,0.609,0.3867,0.1062,0.5441,0.7222,0.7218,0.4622,0.2035,0.0309,0,0.0052,0.068,0.1364,0.9522,0,0.9948,0.8738,0.8636,0.0169,0,0,0.0583,0,0.0616,0.0256,0.0365,0.1154,0.0909
"Leticia","Amazonas","13760",0.8818,0.8817,0.5243,0.8941,0.6897,0.3645,1.0351,0.8019,1.1876,1.024,0.7923,0.0561,0.0734,0.0362,0.0784,0.063,0.897,0.0024,0.9071,0.8755,0.9033,0.0469,0.0024,0.0567,0.0461,0.0337,0.1223,0.0614,0.1185,0.1577,0.0673
"Providencia","Archipiélago de San Andrés, Providencia y Santa Catalina","1119",0.7846,0.7846,0.6705,0.7489,0.6402,0.5754,0.8248,0.7955,0.8397,0.754,0.9497,0.0141,0,0.0101,0.0211,0.0176,0.9491,0,0.9774,0.9053,0.9353,0.0368,0,0.0126,0.0737,0.0471,0.039,0,0.0628,0.0351,0.0059
"San Andrés","Archipiélago de San Andrés, Providencia y Santa Catalina","9607",0.9588,0.9581,0.7925,0.9571,0.8505,0.5392,1.0156,0.9466,1.0674,1.063,0.8153,0.0201,0.0082,0.018,0.0228,0.0265,0.8738,0,0.9139,0.7964,0.8842,0.1061,0,0.068,0.1808,0.0893,0.0905,0.0041,0.0766,0.1393,0.0507
"Villagarzón","Putumayo","5837",0.9599,0.9599,0.5797,0.9392,0.8433,0.4163,1.0327,0.8737,1.1134,1.1232,0.7316,0.0565,0.0578,0.0359,0.0931,0.0228,0.8833,0,0.9224,0.8001,0.9527,0.0602,0,0.0417,0.1068,0.0245,0.0914,0.0226,0.0799,0.1353,0.0403
"Valle del Guamuez","Putumayo","7398",0.9569,0.9567,0.7731,0.9678,0.7577,0.4584,1.0638,1.155,1.1412,1.0629,0.8577,0.0733,0.0536,0.0592,0.1036,0.0558,0.8715,0.0035,0.8936,0.8146,0.8982,0.0552,0.0035,0.0472,0.0818,0.046,0.0735,0.0225,0.0669,0.1073,0.0394
"Santiago","Putumayo","1519",0.7637,0.7637,0.7153,0.7662,0.6599,0.3568,0.8124,0.9635,0.8615,0.8411,0.5353,0.0535,0.053,0.0304,0.0847,0.0543,0.9222,0,0.9661,0.8499,0.938,0.0243,0,0.0036,0.0654,0.0078,0.0559,0.0227,0.0196,0.1017,0.1008
"San Miguel","Putumayo","4626",0.8766,0.8764,0.5395,0.8881,0.6962,0.3938,0.9814,1.0316,1.1,0.9346,0.7539,0.0656,0.0699,0.053,0.0822,0.0704,0.8889,0.0078,0.9081,0.8452,0.9006,0.0455,0.0078,0.0388,0.0726,0.029,0.0711,0.0648,0.0762,0.0763,0.0393
"San Francisco","Putumayo","1153",0.6366,0.6366,0.3708,0.6786,0.5013,0.3636,0.7476,0.5056,0.7442,0.7608,0.8384,0.0292,0.0444,0.0142,0.0546,0.0169,0.9349,0,0.9517,0.9202,0.9068,0.0359,0,0.0341,0.0252,0.0763,0.0544,0.0222,0.0455,0.0882,0.0254
"Sibundoy","Putumayo","2954",0.9516,0.9516,0.6067,0.8553,0.9122,0.7612,1.0369,0.7866,0.9355,1.0918,1.2854,0.0252,0.0345,0.0138,0.037,0.0217,0.9448,0,0.9752,0.902,0.962,0.03,0,0.011,0.061,0.0163,0.0545,0.023,0.0367,0.0961,0.0181
"Leguízamo","Putumayo","8182",0.5738,0.5738,0.2979,0.5416,0.4726,0.2246,0.6276,0.5106,0.7083,0.6584,0.4035,0.0881,0.0444,0.0782,0.116,0.0726,0.8801,0.0028,0.8845,0.8507,0.9081,0.0318,0.0028,0.0373,0.0332,0.0192,0.0824,0.0333,0.091,0.0886,0.0513
"Puerto Guzmán","Putumayo","9592",0.4756,0.4756,0.2543,0.4768,0.3534,0.1536,0.5251,0.5099,0.6281,0.5028,0.3013,0.115,0.09,0.0791,0.1701,0.161,0.8283,0,0.8668,0.7469,0.8073,0.0567,0,0.0541,0.0831,0.0317,0.1127,0.0365,0.1156,0.1437,0.0561
"Puerto Caicedo","Putumayo","3306",0.6724,0.6724,0.4877,0.735,0.5194,0.2799,0.722,0.7439,0.8653,0.6821,0.4217,0.0479,0.0377,0.0323,0.0765,0.0531,0.9133,0,0.9379,0.847,0.942,0.0388,0,0.0298,0.0765,0.0048,0.0681,0.0283,0.0704,0.0823,0.0483
"Puerto Asís","Putumayo","14975",0.885,0.8848,0.559,0.8506,0.7247,0.4009,1.0676,0.9655,1.0694,1.1523,0.9436,0.0608,0.0513,0.0443,0.0887,0.0489,0.8472,0.001,0.884,0.7679,0.874,0.0919,0.001,0.0717,0.1434,0.0771,0.1001,0.0385,0.0966,0.1385,0.0351
"Orito","Putumayo","8910",0.9111,0.9105,0.5432,0.8685,0.7864,0.4287,1.0236,0.9721,1.0327,1.1118,0.8486,0.0664,0.0625,0.0507,0.0897,0.0589,0.8831,0,0.9216,0.8196,0.8909,0.0505,0,0.0276,0.0907,0.0502,0.0837,0.0164,0.0568,0.1375,0.0694
"Colón","Putumayo","1004",0.7361,0.7361,0.3297,0.7066,0.7121,0.4207,0.7849,0.5055,0.8216,0.8607,0.6951,0.0356,0.0652,0.0287,0.0432,0.0263,0.9085,0,0.9398,0.8525,0.9386,0.0559,0,0.0315,0.1043,0.0351,0.0495,0.0217,0.0343,0.0899,0.0088
"Mocoa","Putumayo","11644",0.8482,0.8476,0.5698,0.8376,0.7088,0.4481,0.9436,0.8605,0.964,1.0046,0.8165,0.053,0.0477,0.0375,0.0785,0.0393,0.8712,0,0.9228,0.7844,0.8895,0.0757,0,0.0397,0.1372,0.0712,0.0858,0.0232,0.0579,0.1453,0.0533
"Villanueva","Casanare","8112",0.9582,0.9581,0.7474,0.9267,0.8563,0.5694,1.0242,0.9316,1.0457,1.0906,0.8815,0.0379,0.0466,0.0326,0.0466,0.0264,0.9153,0.0017,0.9469,0.859,0.9418,0.0468,0.0017,0.0205,0.0944,0.0319,0.0706,0.0086,0.0609,0.1128,0.022
"Trinidad","Casanare","3360",0.8842,0.8842,0.6555,0.8253,0.7793,0.473,0.9568,0.8194,0.9678,1.0462,0.8185,0.0473,0.0328,0.041,0.0565,0.0548,0.8982,0,0.9101,0.8745,0.874,0.0545,0,0.0488,0.069,0.0712,0.0841,0,0.1076,0.0967,0.0137
"Tauramena","Casanare","5726",0.9263,0.9261,0.6407,0.8999,0.8368,0.5331,0.9997,0.8571,1.0214,1.0806,0.851,0.0319,0.038,0.0287,0.0367,0.0251,0.9021,0,0.9324,0.8442,0.9424,0.0661,0,0.0389,0.119,0.0325,0.08,0.0095,0.0722,0.1123,0.0457
"Támara","Casanare","1678",0.8236,0.8236,0.6947,0.8612,0.6451,0.3623,0.8564,0.9008,1.0386,0.8007,0.4891,0.0546,0.0339,0.0303,0.0971,0.065,0.9128,0,0.949,0.8465,0.8862,0.0326,0,0.0207,0.0564,0.0488,0.0908,0.0169,0.062,0.1558,0.0976
"San Luis de Palenque","Casanare","1921",0.797,0.797,0.6131,0.773,0.631,0.3517,0.8527,0.7202,0.9343,0.877,0.6414,0.0484,0.0413,0.0435,0.0664,0.0201,0.8515,0,0.8887,0.7626,0.8658,0.1001,0,0.0678,0.171,0.1141,0.1323,0,0.1407,0.1771,0.047
"Sácama","Casanare","493",0.5477,0.5477,0.4318,0.5854,0.4968,0.2759,0.5842,0.5909,0.6537,0.5796,0.4253,0.0625,0.0385,0.0448,0.0879,0.0811,0.9375,0,0.9552,0.9121,0.9189,0,0,0,0,0,0.059,0,0.0373,0.1099,0.0541
"Sabanalarga","Casanare","744",0.75,0.75,0.4545,0.6502,0.7665,0.4574,0.793,0.5818,0.7591,0.9339,0.6822,0.0424,0.125,0.0304,0.0583,0,0.9051,0,0.9522,0.8625,0.9091,0.0525,0,0.0174,0.0792,0.0909,0.0881,0,0.0348,0.1792,0.0114
"Recetor","Casanare","260",0.5846,0.5846,0.619,0.6455,0.4588,0.2955,0.6154,0.7619,0.7091,0.5294,0.4773,0.05,0.0625,0.0256,0.0889,0.0476,0.8938,0,0.9487,0.7556,0.9524,0.0563,0,0.0256,0.1556,0,0.0563,0,0.0385,0.1333,0
"Pore","Casanare","2913",0.7892,0.7892,0.5911,0.7796,0.6667,0.5328,0.852,0.7692,0.8862,0.8302,0.8493,0.0463,0.0368,0.038,0.0603,0.047,0.8757,0,0.9241,0.8073,0.826,0.0781,0,0.038,0.1324,0.1271,0.0682,0.0053,0.0796,0.0773,0.047
"Paz de Ariporo","Casanare","9028",0.9122,0.9122,0.657,0.8888,0.7899,0.4828,1.0028,0.8329,1.0516,1.0706,0.8192,0.0324,0.0317,0.0378,0.0305,0.0165,0.9,0,0.9086,0.869,0.9113,0.0676,0,0.0536,0.1005,0.0722,0.0602,0.0174,0.0556,0.0865,0.0299
"Orocué","Casanare","3488",0.7013,0.7013,0.4266,0.6306,0.6816,0.3506,0.7615,0.6246,0.7482,0.8827,0.6122,0.0548,0.0328,0.0223,0.0897,0.0747,0.8677,0,0.933,0.7788,0.8539,0.0775,0,0.0446,0.1315,0.0714,0.0806,0.0273,0.067,0.1152,0.0519
"Nunchía","Casanare","1968",0.7668,0.7668,0.5424,0.7512,0.6746,0.4677,0.8323,0.7627,0.8561,0.861,0.7484,0.0259,0.0444,0.0138,0.0421,0.0153,0.9196,0,0.9532,0.8604,0.9286,0.0544,0,0.0331,0.0975,0.0561,0.0544,0.0148,0.051,0.088,0.0051
"Monterrey","Casanare","3776",0.8414,0.8408,0.6164,0.7833,0.7831,0.5212,0.9237,0.8082,0.8826,1.0104,0.915,0.0307,0.0418,0.0234,0.0377,0.0274,0.8566,0,0.9592,0.7353,0.8219,0.1127,0,0.0174,0.227,0.1507,0.0648,0,0.0408,0.1147,0.0365
"Maní","Casanare","3736",0.8919,0.8919,0.6677,0.9154,0.7348,0.347,0.9574,0.84,1.0672,1.0172,0.5966,0.069,0.0849,0.0637,0.0861,0.0222,0.8794,0.0039,0.8897,0.8383,0.946,0.0517,0.0039,0.0466,0.0756,0.0317,0.0851,0.0386,0.0897,0.1054,0.0254
"La Salina","Casanare","374",0.5561,0.5561,0.6,0.5612,0.4412,0.3378,0.5963,0.76,0.6115,0.5956,0.5135,0.0314,0,0.0235,0.0617,0,0.8969,0,0.9059,0.8519,0.9211,0.0717,0,0.0706,0.0864,0.0789,0.0359,0,0.0471,0.0494,0
"Hato Corozal","Casanare","3484",0.8746,0.8743,0.6062,0.8494,0.7028,0.3474,0.994,0.8733,1.0955,1.0474,0.6673,0.0449,0.0431,0.0387,0.0557,0.0381,0.8997,0,0.9147,0.8573,0.9326,0.0554,0,0.0467,0.087,0.0293,0.144,0.0235,0.1283,0.2068,0.0909
"Chameza","Casanare","521",0.6929,0.6929,0.5476,0.6968,0.7086,0.506,0.7217,0.7143,0.7149,0.8,0.5783,0.0319,0.0333,0.0253,0.05,0,0.9282,0,0.9684,0.8786,0.9167,0.0399,0,0.0063,0.0714,0.0833,0.0266,0,0.019,0.0429,0.0208
"Aguazul","Casanare","8111",0.8985,0.8982,0.6446,0.8656,0.8145,0.5308,0.9751,0.887,0.9741,1.0573,0.856,0.0362,0.0362,0.0318,0.0442,0.0296,0.8996,0.008,0.9304,0.8451,0.9124,0.0642,0.008,0.0378,0.1106,0.0581,0.0716,0.0221,0.0567,0.1163,0.0295
"Yopal","Casanare","36954",0.9782,0.9777,0.7801,0.9701,0.8627,0.5595,1.0678,0.9122,1.0897,1.1454,0.9362,0.0328,0.0367,0.0306,0.0394,0.0199,0.8932,0,0.9241,0.8253,0.9337,0.074,0,0.0453,0.1353,0.0464,0.0773,0.02,0.0687,0.1174,0.0277
"Tame","Arauca","12242",1.0989,1.0978,0.847,1.0981,0.8761,0.4706,1.2101,1.1809,1.3345,1.2167,0.8732,0.0425,0.0323,0.0365,0.0511,0.0528,0.8683,0.0045,0.8773,0.8217,0.8937,0.0892,0.0045,0.0863,0.1271,0.0535,0.0875,0.0296,0.0899,0.1154,0.0349
"Saravena","Arauca","13901",0.8665,0.8665,0.6311,0.8558,0.6865,0.4447,0.9966,0.9245,1.0344,0.9396,1.0519,0.0443,0.0473,0.0381,0.0603,0.0229,0.8834,0.002,0.9052,0.8139,0.9346,0.0722,0.002,0.0566,0.1258,0.0425,0.0815,0.0325,0.0797,0.1136,0.0335
"Puerto Rondón","Arauca","1056",0.7169,0.7169,0.6023,0.6748,0.5504,0.3018,0.7926,0.9886,0.8894,0.7233,0.574,0.056,0.0575,0.0647,0.0431,0.0482,0.908,0,0.9129,0.8707,0.9518,0.0361,0,0.0224,0.0862,0,0.0597,0.0575,0.0721,0.056,0.012
"Fortul","Arauca","5650",0.823,0.823,0.6046,0.7953,0.5957,0.4039,0.9041,0.9027,1.0585,0.814,0.6689,0.0474,0.0605,0.0453,0.0535,0.0301,0.8479,0.0048,0.8104,0.8616,0.9209,0.1047,0.0048,0.1443,0.0848,0.049,0.109,0.046,0.1339,0.1036,0.0546
"Cravo Norte","Arauca","863",0.8667,0.8667,0.575,0.8027,0.652,0.4593,0.9791,0.8875,1.024,1.0037,0.8593,0.0362,0.0423,0.0208,0.0524,0.0562,0.9159,0,0.9089,0.9039,0.9438,0.0479,0,0.0703,0.0437,0,0.1229,0.0423,0.1224,0.1965,0
"Arauquita","Arauca","14344",0.6551,0.655,0.4554,0.6655,0.4902,0.2542,0.7203,0.7228,0.8246,0.6866,0.5036,0.0535,0.0804,0.055,0.051,0.0267,0.8555,0.0011,0.8668,0.8057,0.9013,0.0909,0.0011,0.0782,0.1433,0.072,0.1065,0.0367,0.1021,0.1449,0.0674
"Arauca","Arauca","19808",0.9703,0.9694,0.6765,0.9485,0.7301,0.4566,1.1029,1.0514,1.1961,1.0571,0.9838,0.0676,0.0614,0.0719,0.0698,0.0445,0.8681,0.0013,0.8796,0.8183,0.9026,0.0643,0.0013,0.0485,0.1119,0.0529,0.0877,0.0346,0.0993,0.1008,0.0349
"Zarzal","Valle del Cauca","8329",0.7229,0.7229,0.5688,0.7311,0.6219,0.5007,0.8143,0.7531,0.8309,0.7831,0.8641,0.041,0.0259,0.0337,0.0558,0.0371,0.929,0,0.9483,0.8873,0.9415,0.03,0,0.0179,0.0569,0.0214,0.0575,0.0141,0.0389,0.1072,0.0259
"Yumbo","Valle del Cauca","20444",1.0426,1.0319,0.7932,1.0528,0.8393,0.5887,1.1416,1.0702,1.2092,1.1144,1.0672,0.0549,0.0598,0.0525,0.0605,0.0462,0.861,0,0.8899,0.7903,0.8995,0.0841,0,0.0576,0.1492,0.0543,0.0998,0.0522,0.0915,0.1368,0.0609
"Yotoco","Valle del Cauca","3038",0.7801,0.7801,0.5485,0.8249,0.6208,0.478,0.892,0.7806,0.958,0.898,0.7744,0.0409,0.0324,0.0314,0.0546,0.0475,0.9028,0.0054,0.9279,0.8388,0.9335,0.0563,0.0054,0.0407,0.1066,0.019,0.0681,0.0324,0.0619,0.0952,0.0443
"Vijes","Valle del Cauca","2377",0.674,0.674,0.6096,0.6341,0.5619,0.4472,0.7674,0.7968,0.7409,0.7809,0.7915,0.0709,0.1074,0.0576,0.0851,0.0565,0.8892,0.0067,0.9246,0.837,0.9032,0.0399,0.0067,0.0178,0.0779,0.0403,0.056,0.0067,0.07,0.0652,0.0241
"Versalles","Valle del Cauca","1356",0.6534,0.6534,0.578,0.6417,0.563,0.4248,0.7168,0.6972,0.7326,0.7543,0.6106,0.0466,0.0132,0.0342,0.0769,0.032,0.9187,0,0.9242,0.8846,0.944,0.0347,0,0.0416,0.0385,0.024,0.0738,0.0132,0.0709,0.1122,0.024
"Ulloa","Valle del Cauca","1133",0.6222,0.6222,0.3523,0.6317,0.5155,0.3895,0.7467,0.6477,0.7473,0.7784,0.7263,0.0758,0.0526,0.0655,0.1076,0.0463,0.8949,0,0.9256,0.8207,0.9444,0.0293,0,0.0089,0.0717,0.0093,0.0891,0.0702,0.0655,0.1514,0.0278
"Tuluá","Valle del Cauca","42751",0.6554,0.6544,0.4603,0.6346,0.5865,0.437,0.7147,0.6479,0.729,0.7394,0.662,0.0568,0.0666,0.049,0.0714,0.0392,0.8805,0,0.9004,0.8334,0.9164,0.0627,0,0.0506,0.0952,0.0444,0.0823,0.0254,0.071,0.1223,0.0416
"Trujillo","Valle del Cauca","4122",0.6463,0.6463,0.5365,0.5976,0.5091,0.4686,0.7593,0.7397,0.7376,0.7686,0.8029,0.0458,0.0386,0.0356,0.0557,0.0568,0.9153,0,0.9331,0.8796,0.9159,0.0389,0,0.0313,0.0647,0.0273,0.056,0.0386,0.055,0.0735,0.0318
"Toro","Valle del Cauca","3033",0.5958,0.5955,0.4449,0.586,0.5502,0.3738,0.6423,0.5507,0.6642,0.6856,0.5401,0.0611,0.048,0.0618,0.0685,0.0455,0.8615,0,0.9197,0.7842,0.8347,0.0774,0,0.0185,0.1473,0.1198,0.0476,0,0.0433,0.0714,0.0207
